id,address,zip_code,latitude,longitude,city,state,categories,rating,name,price_level
AVwcqfZ6ByjofQCxgz8f,876 Connetquot Ave,11752,40.76633264,-73.17540127,Islip Terrace,NY,Pizza Place,4.5,Mary's Pizza and Pasta,2
AVwcqBxJByjofQCxguxE,3668 Lake Tahoe Blvd,96150,38.94855,-119.9565,South Lake Tahoe,CA,"Pizza Place,Restaurant,Pizza,Breakfast & Brunch",3.8,KFC,1
AVwckr-uByjofQCxfxsw,2090 Baker Rd NW,30144,34.0492815,-84.61146355,Kennesaw,GA,"Pizza Place,Italian Restaurant,Pizza Place and Italian Restaurant,Restaurants",,,
AVwc0pu5IN2L1WUfpSEp,2955 Cochran St,93065,34.281553,-118.7393079,Simi Valley,CA,Pizza Place,4.5,Eggs N Things,2
AVwcm6grkufWRAb5xEZY,4100 Carmel Rd,28226,35.11671417,-80.82542896,Charlotte,NC,Pizza Place,,,
AVwdecRjkufWRAb56Rz8,6689 Maddox Blvd,23336,37.927836,-75.35564000000002,Chincoteague Island,VA,Pizza Place,,,
AVwdSgAVByjofQCxniOU,3026 W Montrose Ave,60618,41.96125248,-87.70437452,Chicago,IL,"Pizza Place,Italian Restaurant",4.4,Angelo's Wine Bar,2
AVwdBH8i_7pvs4fz1Y-t,2104 N Western Ave,60647,41.92064,-87.68759,Chicago,IL,"Pizza Place,Restaurant,Pizza",4.1,John's Pizzeria Ristorante & Lounge,1
AVwdDCAGIN2L1WUfrqQJ,13900 County Road 455,34711,28.54811878,-81.68140047,Clermont,FL,"Italian Restaurant,Pizza Place",,,
AVwdHQttByjofQCxloxi,1200 Welsh Rd,19454,40.22709,-75.25945,North Wales,PA,"Pizza Place,Restaurant",4.2,Pho & More,1
AVwdOT6gByjofQCxm0He,103 Signal Mountain Rd,37405,35.08433321,-85.3183446,Chattanooga,TN,Pizza Place,,,
AVwc8SIbkufWRAb50p_2,3035 NE Kane Dr,97030,45.51822925,-122.3988054,Gresham,OR,"Pizza Place,Bar",4.1,Geno's Grill,1
AVwcrRrA_7pvs4fzxwXM,9203C Louetta,77379,30.00673944,-95.54891854,Spring,TX,Pizza Place,,,
AVwdyJmBkufWRAb59OBX,105 S York St,60126,41.89871,-87.93934,Elmhurst,IL,"Pizza Place,Restaurant",4.6,Pazzi Di Pizza,2
AVwd_t3mIN2L1WUf1Dgp,460 N Sepulveda Blvd,90245,33.92191,-118.396154,El Segundo,CA,"Pizza Place,Restaurant",4.4,Five Guys,2
AVwdHYbx_7pvs4fz2al7,3231 Powelton Ave,19104,39.96041,-75.18906,Philadelphia,PA,"Pizza Place,Restaurant,Pizza,Pizza Place Powelton Village",3.7,California Pizza,1
AVwd0zin_7pvs4fz9mgc,1130 Valley Forge Rd,19460,40.1188802,-75.4905592,Phoenixville,PA,"Italian Restaurant,Pizza Place,Italian Restaurant and Pizza Place",,,
AVwdcH99IN2L1WUfv1xq,3518 6th Ave,98406,47.25517556,-122.4833745,Tacoma,WA,Pizza Place,4.2,"Farrelli's Pizza, Tacoma",2
AVwdeFzZ_7pvs4fz6N78,1701 E 7th St,28204,35.21591371,-80.82177247,Charlotte,NC,"Pizza Place,Wings Joint,Pizza Place and Wings Joint Elizabeth,Pizza Place and Wings Joint",4.4,Hawthorne's New York Pizza and Bar 7th Street,2
AVwdLozi_7pvs4fz3Hfn,6372 W Sunset Blvd,90028,34.09771729999999,-118.3286819,Los Angeles,CA,"Pizza Place,restaurant",,,
AVwcnaeKByjofQCxgRT4,5513 Airport Way S,98108,47.553103,-122.3209137,Seattle,WA,"Pizza Place,Pizza Place Georgetown",4.3,"Stellar Pizza, Ale, & Cocktails",2
AVwdFUX7ByjofQCxlU7O,1534 California St,94109,37.79076,-122.419738,San Francisco,CA,"Pizza Place,Restaurant",,,
AVwdPrpY_7pvs4fz30Vj,6006 SW 18th St,33433,26.33146074,-80.13732433,Boca Raton,FL,Pizza Place,,,
AVweX5PuByjofQCxxod0,14 Elwood St,60423,41.49908154,-87.84995645,Frankfort,IL,"American Restaurant,Pizza Place,American Restaurant and Pizza Place",3.7,Durbin's Pizza & Catering,2
AVwed6xAkufWRAb5DMLK,4930 Dublin Blvd,94568,37.703783,-121.884947,Dublin,CA,Pizza Place,4.2,Five Guys,2
AVweHqpukufWRAb5AK9F,11608 Conant St,48212,42.40496287,-83.05426419,Hamtramck,MI,Pizza Place,4.8,Ali's Pizza & Burgers,1
AVwc4D2LIN2L1WUfp2rp,5315 Greenville Ave,75206,32.85168157,-96.77007914,Dallas,TX,Pizza Place,4,Shuck N Jive,2
AVwdEDWY_7pvs4fz14Ng,105 N Fort Harrison Ave,33755,27.967240000000004,-82.79973000000003,Clearwater,FL,"Pizza Place,Italian Restaurant,Restaurant,Pizza Place and Italian Restaurant",,,
AVwc2hut_7pvs4fzzo1I,1014 N Ocean Dr,33019,26.01804689,-80.11738726,Hollywood,FL,"Pizza Place,American Restaurant,Pizza Place and American Restaurant",4,Capone's Flicker Lite,2
AVwdMn4HIN2L1WUftPFC,166 W Maple Rd,48084,42.54842,-83.14925,Troy,MI,"Pizza Place,Restaurant",,,
AVwcrFmxIN2L1WUfnnz4,6051 SW Loop 820,76132,32.68152044,-97.41557985,Fort Worth,TX,"Sports Bar,Pizza Place,Sports Bar and Pizza Place City View,Sports Bar and Pizza Place",,,
AVwd80_AkufWRAb5-q3i,9719 Mills Rd,77070,29.9588,-95.5647,Houston,TX,"Pizza Place,Restaurants",4.5,Brothers Pizza,1
AVwc8P3z_7pvs4fz0mNK,250 S State Road 135,46142,39.61250937,-86.15865039,Greenwood,IN,"Pizza Place,Pizza,Restaurants,Italian Restaurants",,,
AVwcyn3gByjofQCxiOGT,13317 NE 175th St,98072,47.75379,-122.16069,Woodinville,WA,"Pizza Place,Restaurant",3.9,Racha Thai Cuisine,2
AVwdvXrsByjofQCxsDgu,615 E Grand River Ave,48823,42.73323545,-84.47601542,East Lansing,MI,Pizza Place,4.2,Cottage Inn Pizza - East Lansing,1
AVwd1_w1kufWRAb59vZJ,3690 Lincoln Way W,46628,41.693293,-86.300641,South Bend,IN,"Italian Restaurant,Pizza Place,Restaurant,Italian Restaurant and Pizza Place",,,
AVwejIr7_7pvs4fzEC9u,512 N Washingon St,58203,47.92461,-97.044785,Grand Forks,ND,"Restaurant,Pizza Place",,,
AVwctPNmkufWRAb5yJ5Z,2300 Liam Ave,30019,34.004447,-83.914164,Dacula,GA,"Restaurant,Pizza Place",,,
AVwduJt5kufWRAb58pFL,5624 N Broadway St,60660,41.984474,-87.660095,Chicago,IL,"Pizza Place,Pizza Place Edgewater,Caterers,Restaurants,Italian Restaurants,Pizza",,,
AVwchEpnkufWRAb5wA7Z,8358 Point Meadows Dr,32256,30.2175,-81.52053000000002,Jacksonville,FL,"Pizza,Restaurants,Pizza Place",4.7,Maple Street Biscuit Company- Point Meadows,2
AVwc6h07ByjofQCxjkmq,920 N High St,43201,39.981262,-83.00408,Columbus,OH,"Restaurant,Pizza Place,Pizza,Food Delivery,Restaurants,Sandwich Place",4,Donatos Pizza,2
AVwdldHTByjofQCxqj3t,640 Colvin Ave,14216,42.95816839,-78.859217,Buffalo,NY,Pizza Place,,,
AVwdGPrykufWRAb52RhA,3233 Powelton Ave,19104,39.960509,-75.18915,Philadelphia,PA,"Pizza Place,Restaurant,American,Pizza",4.6,El Taco,1
AVwdFCbJ_7pvs4fz2Co1,522 E Atlantic Ave,33483,26.4614,-80.06729,Delray Beach,FL,"Italian Restaurant,Pizza Place,Pizza,Restaurants",4.5,Scuola Vecchia Pizza e Vino,2
AVwc36_LByjofQCxjIHs,6415 Burden Blvd,99301,46.27084465,-119.17453770000002,Pasco,WA,Pizza Place,4.4,Rocco's Pizza,2
AVwco2W0IN2L1WUfnO5p,1022 College Ave,60187,41.86899252,-88.09073687,Wheaton,IL,Pizza Place,,,
AVwckfwm_7pvs4fzwkS_,4804 Tieton Dr,98908,46.59229185,-120.5734884,Yakima,WA,"Pizza Place,American",4.1,Abby's Legendary Pizza,2
AVwcqIsE_7pvs4fzxjIo,1604 W Grandview Blvd,16509,42.08356203,-80.09611149,Erie,PA,"Italian Restaurant,Pizza Place,Italian Restaurant and Pizza Place",4.4,Skippereno's Italian Restaurant,1
AVwcsAj3kufWRAb5x8pf,544 E Broadway Blvd,37760,36.12602386,-83.47029153,Jefferson City,TN,"Italian Restaurant,Pizza Place,Italian Restaurant and Pizza Place",4.3,Gondolier,2
AVwciS8JByjofQCxfU7M,2000 Mirror Lake Blvd,30180,33.733805,-84.900134,Villa Rica,GA,Pizza Place,4.4,Subway,1
AVwdDuDUkufWRAb513nA,4880 Lower Roswell Rd,30068,33.965959999999995,-84.40928000000002,Marietta,GA,"Pizza Place,Restaurant",3.7,Taco Bell,1
AVwd9VIWByjofQCxuA40,2307 S Dale Mabry Hwy,33629,27.92461767,-82.50625544,Tampa,FL,Pizza Place,,,
AVwdE3kPIN2L1WUfr-IQ,4500 Hampton Ave,63109,38.5896711,-90.29440023,Saint Louis,MO,Pizza Place,,,
AVwcprtHByjofQCxgrUt,44 Centennial Blvd,80129,39.56196,-104.98794,Littleton,CO,"Pizza Place,Zoo,Bar",,,
AVwd7dilIN2L1WUf0di5,2128 Murray Ave,15217,40.4328891,-79.9231777,Pittsburgh,PA,Pizza Place,,,
AVwdY6YU_7pvs4fz5YC6,2553 S Colorado Blvd,80222,39.670606,-104.941363,Denver,CO,Pizza Place,4.5,Subway,1
AVwcj8-KkufWRAb5wimS,4900 Dodge St,68132,41.2597,-95.98789,Omaha,NE,"Pizza Place,Bar,Sports Bar,Restaurants,Pizza,Ne\\pizza Place",4,Varsity Sports Cafe and Roman Coin Pizza - Dundee,2
AVweCRYBkufWRAb5_bjs,1483 Madison St,37040,36.52092632,-87.33135603,Clarksville,TN,Pizza Place,,,
AVwcnAqpByjofQCxgM3n,1633C Taylor Rd,32128,29.14240536,-81.03634925,Port Orange,FL,"Pizza Place,Restaurant",,,
AVwduLuSkufWRAb58pYM,2844 Verot School Rd,70508,30.14156,-92.03255,Lafayette,LA,"Pizza Place,Take Out Restaurants,Restaurants,Pizza",,,
AVwcv-bykufWRAb5ynLL,3601 Edison Rd,46615,41.69524000000001,-86.19735,South Bend,IN,"Pizza Place,Pizza,Take Out Restaurants,Restaurants",,,
AVwdLscCByjofQCxmXuJ,105 E Main St,33830,27.89632517,-81.84310734,Bartow,FL,"Pizza Place,Italian Restaurant,Pizza Place and Italian Restaurant Downtown Bartow,Pizza Place and Italian Restaurant",4.7,Palace Pizza,1
AVwchlvXIN2L1WUfl5J3,4120 Woodward Ave,48201,42.35114625,-83.06025004,Detroit,MI,Pizza Place,4.1,Sgt. Pepperoni's Pizzeria & Deli,1
AVwdOqzJIN2L1WUftlO4,301 Main St,92648,33.659634000000004,-117.999886,Huntington Beach,CA,"Pizza Place,Restaurant,Italian,Pizza",4.2,Legend's Sports Bar,2
AVwdNGjukufWRAb53aOH,1700 W 11th Ave,97402,44.0474,-123.11849,Eugene,OR,"Restaurant,Pizza Place,Pizza",4.1,Papa's Pizza West 11th,2
AVwclY8YIN2L1WUfmnC-,430 Long Hollow Pike,37072,36.33038300000001,-86.698296,Goodlettsville,TN,"Pizza Place,Restaurants,Restaurant",,,
AVwdEMDvByjofQCxlJol,111 S Broadway,55904,44.02239,-92.46348,Rochester,MN,"Pizza Place,Restaurant",3.6,zpizza,2
AVwcoLBoByjofQCxgZ7Y,1230 Sunset Blvd,95765,38.810996,-121.284735,Rocklin,CA,"Italian Restaurant,Pizza Place",4.5,Sizzle Mongolian BBQ,1
AVwdcalWkufWRAb55-b_,2580 W Chandler Blvd,85224,33.30693154,-111.8855488,Chandler,AZ,Pizza Place,4,NYPD Pizza,2
AVwchuM9kufWRAb5wI4n,2615 13th St,34769,28.24571781,-81.29899995,Saint Cloud,FL,Pizza Place,,,
AVweiY0IkufWRAb5D3cl,122 W 8th St,65401,37.949963,-91.7711,Rolla,MO,"Pizza Place,Restaurant",4.5,Alex's Pizza Palace,2
AVwci_unIN2L1WUfmKON,1925 Madison Square Blvd,37086,36.020683,-86.57829,La Vergne,TN,"Pizza Place,Pizza,Italian Restaurants,Restaurants",4.3,Sir Pizza,2
AVwdQL7NIN2L1WUft2h4,117 S Main St,48307,42.67741868,-83.13394551,Rochester,MI,"Pizza Place,Pizza Place Downtown Rochester",4.4,Georgio's Pizza & Pasta,1
AVwdpKIfIN2L1WUfx2FG,1552 FM 685,78660,30.45298831,-97.60445416,Pflugerville,TX,Pizza Place,,,
AVwd-Ovt_7pvs4fz-5eE,15603 N 59th Ave,85306,33.6265,-112.18497,Glendale,AZ,"Pizza Place,Restaurant,Pizza,Chain Restaurant",4.4,Ray's Pizza,2
AVweHdjTIN2L1WUf2IDS,3122 N Campbell Ave,85719,32.26363,-110.94319,Tucson,AZ,"Pizza,Restaurants,Pizza Place",,,
AVwdP-jDByjofQCxnHE6,905 Church St,37203,36.16096,-86.78461999999998,Nashville,TN,"Pizza Place,Restaurants,Italian Restaurants,Pizza,Restaurant",,,
AVwc3EXokufWRAb5zyFG,11534 Clifton Blvd,44102,41.48745138,-81.76733208,Cleveland,OH,Pizza Place,,,
AVwce9huByjofQCxevK1,1187 Coast Village Rd,93108-2737,34.42067,-119.64497,Santa Barbara,CA,"Restaurant,Pizza Place,Italian Restaurant,Pizza Place and Italian Restaurant",,,
AVwcznSFByjofQCxiY-b,17020 Condit Rd,95037,37.13361,-121.63039,Morgan Hill,CA,"Pizza Place,Restaurant",3.8,Subway,1
AVwdgOBsByjofQCxpwnh,738 SW Gage Blvd,66606,39.05598,-95.72465,Topeka,KS,"Pizza Place,Restaurant",4.1,Pizzeria Vias Family Dining,2
AVweTeaj_7pvs4fzB0by,206 E End Blvd S,75670,32.54415,-94.34997,Marshall,TX,"Pizza Place,Pizza,Italian Restaurants,Restaurants,Restaurant",4.4,Gucci's Pizza,2
AVwctBa1ByjofQCxhQHe,395 Shanley St,14206,42.882531,-78.798653,Buffalo,NY,"Pizza Place,bars & clubs",3.4,Partner's Pizzeria & Bar,2
AVwcm2WmkufWRAb5xDuB,1250 El Camino Real,94002,37.51868606,-122.2742969,Belmont,CA,Pizza Place,,,
AVwcezFAkufWRAb5vmNn,1141 Steamboat Pkwy,89521,39.42376,-119.7385,Reno,NV,"Pizza Place,Pizza,Restaurants",,,
