,id,address,categories,city,postalCode,latitude,longitude,menus.amountMax,menus.amountMin,menus.name,menus.description,menus.dateSeen,province
3607,AVwdLscCByjofQCxmXuJ,105 E Main St,"Pizza Place,Italian Restaurant,Pizza Place and Italian Restaurant Downtown Bartow,Pizza Place and Italian Restaurant",Bartow,33830,27.89632517,-81.84310734,14.95,14.95,Eggplant Ricotta Pizza,"Our neapolitan pizza topped with slices of breaded eggplant sauce, ricotta and mozzarella cheese",2016-05-06T02:54:47Z,FL
3608,AVwdLscCByjofQCxmXuJ,105 E Main St,"Pizza Place,Italian Restaurant,Pizza Place and Italian Restaurant Downtown Bartow,Pizza Place and Italian Restaurant",Bartow,33830,27.89632517,-81.84310734,16.25,16.25,The Palace Supreme Pizza,"Topped with a combination of any five toppings of your choice, sauce and our special blend of  parmigiano and mozzarella cheese.",2016-05-06T02:54:47Z,FL
3609,AVwdLscCByjofQCxmXuJ,105 E Main St,"Pizza Place,Italian Restaurant,Pizza Place and Italian Restaurant Downtown Bartow,Pizza Place and Italian Restaurant",Bartow,33830,27.89632517,-81.84310734,12.95,12.95,White Garlic Pizza,"Topped with olive oil, fresh garlic, parmigiano and our special blend of mozzarella cheese.",2016-05-06T02:54:47Z,FL
3610,AVwdLscCByjofQCxmXuJ,105 E Main St,"Pizza Place,Italian Restaurant,Pizza Place and Italian Restaurant Downtown Bartow,Pizza Place and Italian Restaurant",Bartow,33830,27.89632517,-81.84310734,14.95,14.95,Vegetarian White Pizza,Pizza topped with your choice of nay five of our fresh vegetable toppings smothered.,2016-05-06T02:54:47Z,FL
3611,AVwchlvXIN2L1WUfl5J3,4120 Woodward Ave,Pizza Place,Detroit,48201,42.35114625,-83.06025004,11.5,11.5,One Large Pizza.,With cheese and 1 topping and one order of breadsticks,2016-07-06T20:26:57Z,MI
3612,AVwchlvXIN2L1WUfl5J3,4120 Woodward Ave,Pizza Place,Detroit,48201,42.35114625,-83.06025004,8.0,8.0,One Large Pizza..,With cheese and 1 topping,2016-07-06T20:26:57Z,MI
3613,AVwdOqzJIN2L1WUftlO4,301 Main St,"Pizza Place,Restaurant,Italian,Pizza",Huntington Beach,92648,33.659634000000004,-117.999886,19.95,9.95,"Goat Cheese, Chicken, And Sunned Tomato Pizza","Layered with spinach and white creamy sauce. topped with chicken. semidried tomatoes, black olive, and mozzarella cheese",2016-05-03T08:42:13Z,CA
3614,AVwdOqzJIN2L1WUftlO4,301 Main St,"Pizza Place,Restaurant,Italian,Pizza",Huntington Beach,92648,33.659634000000004,-117.999886,6.0,6.0,Flat Bread Pizza,Choose 3 toppings. excludes shrimp,2016-05-03T08:42:13Z,CA
3615,AVwdOqzJIN2L1WUftlO4,301 Main St,"Pizza Place,Restaurant,Italian,Pizza",Huntington Beach,92648,33.659634000000004,-117.999886,20.95,9.95,Meat Love Pizza,"Pepperoni. ground beef. sweet italian sausage. canadian bacon, and country baboon.",2016-05-03T08:42:13Z,CA
3616,AVwdOqzJIN2L1WUftlO4,301 Main St,"Pizza Place,Restaurant,Italian,Pizza",Huntington Beach,92648,33.659634000000004,-117.999886,19.95,9.95,"Sausage, Pepperoni And Mushroom Pizza","Fresh mushrooms, pepperoni, sweet italian sausage, mozzarella cheese and our special tomato sauce.",2016-05-03T08:42:13Z,CA
